DataDASAACSV

CodEntidad,nombreEntidad,nombreMunicipio,idMunicipio,Anio,Mes,Destrucciondecultivos_marihuana,Aseguramientode_marihuana,Aseguramientode_semillademarihuana
"AGU","Aguascalientes","Aguascalientes","01001","2019","11","0","86","0",
"AGU","Aguascalientes","Cosío","01004","2019","11","0","4","0",
"BCN","Baja California","Ensenada","02001","2019","11","0","252","4",
"BCN","Baja California","Mexicali","02002","2019","11","0","412","0",
"BCN","Baja California","Tijuana","02004","2019","11","0","44","0",
"BCS","Baja California Sur","Los Cabos","03008","2019","11","0","1","0",
"CAM","Campeche","Calakmul","04010","2019","11","0","9","0",
"COA","Coahuila de Zaragoza","Saltillo","05030","2019","11","0","183","0",
"COL","Colima","Manzanillo","06007","2019","11","0","1","0",
"CHP","Chiapas","Tuxtla Gutiérrez","07101","2019","11","0","1","0",
"CHP","Chiapas","Tuxtla Chico","07102","2019","11","0","2","0",
"CHH","Chihuahua","Chihuahua","08019","2019","11","0","34","0",
"CHH","Chihuahua","Delicias","08021","2019","11","0","302","0",
"CHH","Chihuahua","Guachochi","08027","2019","11","7","0","0",
"CHH","Chihuahua","Guadalupe y Calvo","08029","2019","11","41","0","0",
"CHH","Chihuahua","Juárez","08037","2019","11","0","214","0",
"CHH","Chihuahua","Madera","08040","2019","11","0","23","6",
"CHH","Chihuahua","Morelos","08046","2019","11","5","0","0",
"CMX","Ciudad de México","Gustavo A. Madero","09005","2019","11","0","79","0",
"CMX","Ciudad de México","Venustiano Carranza","09017","2019","11","0","8","0",
"DUR","Durango","Canelas","10002","2019","11","11","0","0",
"DUR","Durango","Durango","10005","2019","11","0","938","0",
"DUR","Durango","Gómez Palacio","10007","2019","11","0","5","0",
"DUR","Durango","Otáez","10019","2019","11","4","0","0",
"DUR","Durango","Pueblo Nuevo","10023","2019","11","2","0","0",
"DUR","Durango","San Dimas","10026","2019","11","9","0","0",
"DUR","Durango","Santiago Papasquiaro","10032","2019","11","4","0","0",
"DUR","Durango","Tamazula","10034","2019","11","160","0","0",
"DUR","Durango","Topia","10037","2019","11","4","0","0",
"GUA","Guanajuato","León","11020","2019","11","0","17","0",
"GUA","Guanajuato","San Luis de la Paz","11033","2019","11","0","1","0",
"GRO","Guerrero","Acapulco de Juárez","12001","2019","11","0","23","1",
"GRO","Guerrero","Atoyac de Álvarez","12011","2019","11","1","0","0",
