DataDASAACSV

CodEntidad,nombreEntidad,nombreMunicipio,idMunicipio,Anio,Mes,Destrucciondecultivos_marihuana,Aseguramientode_marihuana,Aseguramientode_semillademarihuana
"AGU","Aguascalientes","Aguascalientes","01001","2019","3","0","1","0",
"BCN","Baja California","Ensenada","02001","2019","3","1","2350","322",
"BCN","Baja California","Mexicali","02002","2019","3","0","60","0",
"BCN","Baja California","Tijuana","02004","2019","3","0","1138","0",
"BCS","Baja California Sur","Los Cabos","03008","2019","3","0","1","0",
"CHP","Chiapas","Tapachula","07089","2019","3","0","33","0",
"CHH","Chihuahua","Delicias","08021","2019","3","0","1","0",
"CHH","Chihuahua","Guachochi","08027","2019","3","3","0","0",
"CHH","Chihuahua","Guadalupe y Calvo","08029","2019","3","29","0","0",
"CHH","Chihuahua","Juárez","08037","2019","3","0","711","0",
"CHH","Chihuahua","Madera","08040","2019","3","0","4","0",
"CMX","Ciudad de México","Gustavo A. Madero","09005","2019","3","0","2","0",
"DUR","Durango","Canelas","10002","2019","3","2","0","0",
"DUR","Durango","Durango","10005","2019","3","0","1","0",
"DUR","Durango","El Oro","10018","2019","3","1","0","0",
"DUR","Durango","Otáez","10019","2019","3","3","0","0",
"DUR","Durango","Pueblo Nuevo","10023","2019","3","3","0","0",
"DUR","Durango","Santiago Papasquiaro","10032","2019","3","2","0","0",
"DUR","Durango","Tamazula","10034","2019","3","7","0","0",
"GUA","Guanajuato","Celaya","11007","2019","3","0","1","0",
"GUA","Guanajuato","Irapuato","11017","2019","3","0","8","0",
"GUA","Guanajuato","León","11020","2019","3","0","6","0",
"GUA","Guanajuato","Salamanca","11027","2019","3","0","3","0",
"GRO","Guerrero","Acapulco de Juárez","12001","2019","3","0","3","0",
"GRO","Guerrero","Coyuca de Benítez","12021","2019","3","0","2","0",
"GRO","Guerrero","Chilpancingo de los Bravo","12029","2019","3","0","4","0",
"GRO","Guerrero","General Heliodoro Castillo","12032","2019","3","2","0","0",
"GRO","Guerrero","Iguala de la Independencia","12035","2019","3","0","17","0",
"GRO","Guerrero","Olinalá","12045","2019","3","0","26","0",
"GRO","Guerrero","La Unión de Isidoro Montes de Oca","12068","2019","3","0","4","4",
"JAL","Jalisco","Acatic","14001","2019","3","0","1","0",
"JAL","Jalisco","Encarnación de Díaz","14035","2019","3","0","2","0",
"JAL","Jalisco","Guadalajara","14039","2019","3","0","7","0",
"JAL","Jalisco","Hostotipaquillo","14040","2019","3","2","0","0",
"JAL","Jalisco","Ixtlahuacán de los Membrillos","14044","2019","3","1","0","0",
"JAL","Jalisco","Ixtlahuacán del Río","14045","2019","3","1","0","0",
"JAL","Jalisco","San Juan de los Lagos","14073","2019","3","0","1","0",
"JAL","Jalisco","Tepatitlán de Morelos","14093","2019","3","0","5","0",
"JAL","Jalisco","Tequila","14094","2019","3","26","100","0",
"JAL","Jalisco","Tlajomulco de Zúñiga","14097","2019","3","0","55","0",
"JAL","Jalisco","San Pedro Tlaquepaque","14098","2019","3","0","138","0",
"JAL","Jalisco","Zapopan","14120","2019","3","0","184","0",
"MEX","México","Atlacomulco","15014","2019","3","0","110","0",
"MEX","México","Ecatepec de Morelos","15033","2019","3","0","1","0",
"MEX","México","Tejupilco","15082","2019","3","0","35","0",
"MIC","Michoacán de Ocampo","Madero","16049","2019","3","1","80","0",
"MIC","Michoacán de Ocampo","Lázaro Cárdenas","16052","2019","3","0","4","4",
"MIC","Michoacán de Ocampo","Morelia","16053","2019","3","0","45","0",
"MIC","Michoacán de Ocampo","Nocupétaro","16057","2019","3","1","0","0",
"NAY","Nayarit","Del Nayar","18009","2019","3","3","0","0",
"NAY","Nayarit","Tepic","18017","2019","3","0","8","0",
"OAX","Oaxaca","Acatlán de Pérez Figueroa","20002","2019","3","5","0","0",
"OAX","Oaxaca","Matías Romero Avendaño","20057","2019","3","0","1","0",
"OAX","Oaxaca","San Carlos Yautepec","20125","2019","3","13","0","0",
"OAX","Oaxaca","San Cristóbal Suchixtlahuaca","20129","2019","3","0","28","0",
"OAX","Oaxaca","San Jerónimo Coatlán","20159","2019","3","9","0","0",
