DataDASAACSV

CodEntidad,nombreEntidad,nombreMunicipio,idMunicipio,Anio,Mes,Destrucciondecultivos_marihuana,Aseguramientode_marihuana,Aseguramientode_semillademarihuana
"BCN","Baja California","Ensenada","02001","2019","10","1","875","0",
"BCN","Baja California","Tecate","02003","2019","10","6","0","0",
"BCN","Baja California","Tijuana","02004","2019","10","0","2763","0",
"BCS","Baja California Sur","Los Cabos","03008","2019","10","0","4","0",
"CHP","Chiapas","Cintalapa","07017","2019","10","2","0","0",
"CHP","Chiapas","Tuxtla Gutiérrez","07101","2019","10","0","30","0",
"CHH","Chihuahua","Batopilas de Manuel Gómez Morín","08008","2019","10","3","0","0",
"CHH","Chihuahua","Cuauhtémoc","08017","2019","10","0","15","0",
"CHH","Chihuahua","Chihuahua","08019","2019","10","0","92","0",
"CHH","Chihuahua","Guachochi","08027","2019","10","7","0","0",
"CHH","Chihuahua","Guadalupe y Calvo","08029","2019","10","227","0","0",
"CHH","Chihuahua","Hidalgo del Parral","08032","2019","10","24","0","0",
"CHH","Chihuahua","Juárez","08037","2019","10","0","96","0",
"CHH","Chihuahua","Madera","08040","2019","10","0","8","0",
"CHH","Chihuahua","Maguarichi","08041","2019","10","6","0","0",
"CHH","Chihuahua","Morelos","08046","2019","10","53","0","0",
"CMX","Ciudad de México","Azcapotzalco","09002","2019","10","0","4","0",
"CMX","Ciudad de México","Gustavo A. Madero","09005","2019","10","0","3","0",
"CMX","Ciudad de México","Tlalpan","09012","2019","10","0","20","0",
"CMX","Ciudad de México","Cuauhtémoc","09015","2019","10","0","2500","2500",
"CMX","Ciudad de México","Venustiano Carranza","09017","2019","10","0","12","0",
"DUR","Durango","Canelas","10002","2019","10","6","0","0",
"DUR","Durango","Durango","10005","2019","10","2","1180","0",
"DUR","Durango","El Oro","10018","2019","10","1","0","0",
"DUR","Durango","Otáez","10019","2019","10","21","0","0",
"DUR","Durango","Pueblo Nuevo","10023","2019","10","1","0","0",
"DUR","Durango","San Dimas","10026","2019","10","3","0","0",
"DUR","Durango","Santiago Papasquiaro","10032","2019","10","5","0","0",
"DUR","Durango","Tamazula","10034","2019","10","77","920","0",
"DUR","Durango","Topia","10037","2019","10","6","0","0",
"GUA","Guanajuato","Irapuato","11017","2019","10","0","261","0",
"GUA","Guanajuato","León","11020","2019","10","0","4","0",
"GRO","Guerrero","Acapulco de Juárez","12001","2019","10","0","20","0",
"GRO","Guerrero","Atoyac de Álvarez","12011","2019","10","1","0","0",
"GRO","Guerrero","Coahuayutla de José María Izazaga","12016","2019","10","1","0","0",
"GRO","Guerrero","Coyuca de Benítez","12021","2019","10","2","4","0",
"GRO","Guerrero","Coyuca de Catalán","12022","2019","10","8","0","0",
"GRO","Guerrero","Chilpancingo de los Bravo","12029","2019","10","2","0","0",
"GRO","Guerrero","General Heliodoro Castillo","12032","2019","10","13","0","0",
"GRO","Guerrero","Iguala de la Independencia","12035","2019","10","1","0","0",
