DataDASAACSV

CodEntidad,nombreEntidad,nombreMunicipio,idMunicipio,Anio,Mes,Destrucciondecultivos_marihuana,Aseguramientode_marihuana,Aseguramientode_semillademarihuana
"BCN","Baja California","Tijuana","02004","2019","2","0","482","0",
"COL","Colima","Colima","06002","2019","2","0","31","0",
"COL","Colima","Tecomán","06009","2019","2","0","19","0",
"CHP","Chiapas","Frontera Hidalgo","07035","2019","2","0","3","0",
"CHP","Chiapas","Pichucalco","07068","2019","2","0","2","0",
"CHH","Chihuahua","Chihuahua","08019","2019","2","0","1","0",
"CHH","Chihuahua","Guachochi","08027","2019","2","8","0","0",
"CHH","Chihuahua","Guadalupe y Calvo","08029","2019","2","21","0","0",
"CHH","Chihuahua","Jiménez","08036","2019","2","0","112","0",
"CHH","Chihuahua","Juárez","08037","2019","2","0","326","0",
"CMX","Ciudad de México","Gustavo A. Madero","09005","2019","2","0","26","0",
"DUR","Durango","Santiago Papasquiaro","10032","2019","2","2","0","0",
"DUR","Durango","Tamazula","10034","2019","2","7","0","0",
"GUA","Guanajuato","León","11020","2019","2","0","5","0",
"GUA","Guanajuato","Silao de la Victoria","11037","2019","2","0","2","0",
"GRO","Guerrero","Chilpancingo de los Bravo","12029","2019","2","1","0","0",
"GRO","Guerrero","General Heliodoro Castillo","12032","2019","2","1","0","0",
"GRO","Guerrero","Iguala de la Independencia","12035","2019","2","0","252","0",
"HID","Hidalgo","Zempoala","13083","2019","2","0","91","0",
"JAL","Jalisco","Acatic","14001","2019","2","0","24","0",
"JAL","Jalisco","El Arenal","14009","2019","2","0","130","0",
"JAL","Jalisco","Guadalajara","14039","2019","2","0","43","0",
"JAL","Jalisco","Ocotlán","14063","2019","2","0","1","0",
"JAL","Jalisco","Tepatitlán de Morelos","14093","2019","2","0","5","0",
"JAL","Jalisco","Tequila","14094","2019","2","2","0","0",
"JAL","Jalisco","Tlajomulco de Zúñiga","14097","2019","2","0","41","0",
"JAL","Jalisco","San Pedro Tlaquepaque","14098","2019","2","0","22","0",
"JAL","Jalisco","Zapopan","14120","2019","2","1","1","0",
"MEX","México","Tepotzotlán","15095","2019","2","0","17","0",
"MIC","Michoacán de Ocampo","Hidalgo","16034","2019","2","1","50","0",
"NAY","Nayarit","Compostela","18004","2019","2","2","0","0",
"NAY","Nayarit","Ixtlán del Río","18006","2019","2","1","0","0",
"NAY","Nayarit","Del Nayar","18009","2019","2","12","0","0",
"NAY","Nayarit","La Yesca","18019","2019","2","4","0","0",
"OAX","Oaxaca","Acatlán de Pérez Figueroa","20002","2019","2","1","0","0",
"OAX","Oaxaca","Asunción Ixtaltepec","20005","2019","2","4","0","0",
"OAX","Oaxaca","Nejapa de Madero","20064","2019","2","2","0","0",
"OAX","Oaxaca","Santiago Niltepec","20066","2019","2","1","0","0",
"OAX","Oaxaca","Oaxaca de Juárez","20067","2019","2","0","7","0",
"OAX","Oaxaca","San Blas Atempa","20124","2019","2","1","0","0",
"OAX","Oaxaca","San Carlos Yautepec","20125","2019","2","11","0","1",
"OAX","Oaxaca","San Jerónimo Coatlán","20159","2019","2","1","0","0",
"OAX","Oaxaca","San Juan Bautista Tuxtepec","20184","2019","2","0","8","0",
"OAX","Oaxaca","San Miguel Chimalapa","20265","2019","2","3","0","0",
"OAX","Oaxaca","Villa Sola de Vega","20277","2019","2","3","0","0",
"OAX","Oaxaca","San Pedro Quiatoni","20325","2019","2","1","0","0",
"OAX","Oaxaca","Santa Lucía del Camino","20390","2019","2","1","0","0",
"OAX","Oaxaca","Santa Lucía Miahuatlán","20391","2019","2","5","0","0",
