DataDASAACSV

CodEntidad,nombreEntidad,nombreMunicipio,idMunicipio,Anio,Mes,Destrucciondecultivos_marihuana,Aseguramientode_marihuana,Aseguramientode_semillademarihuana
"BCN","Baja California","Ensenada","02001","2019","6","0","1771","4",
"BCN","Baja California","Mexicali","02002","2019","6","0","11","0",
"BCN","Baja California","Tecate","02003","2019","6","1","8","0",
"BCN","Baja California","Tijuana","02004","2019","6","0","51","0",
"BCS","Baja California Sur","Los Cabos","03008","2019","6","0","2","0",
"COL","Colima","Manzanillo","06007","2019","6","0","38","38",
"CHH","Chihuahua","Chihuahua","08019","2019","6","0","51","0",
"CHH","Chihuahua","Juárez","08037","2019","6","0","157","0",
"CHH","Chihuahua","Madera","08040","2019","6","0","2","0",
"CHH","Chihuahua","Nuevo Casas Grandes","08050","2019","6","0","10","4",
"CMX","Ciudad de México","Azcapotzalco","09002","2019","6","0","1","0",
"CMX","Ciudad de México","Gustavo A. Madero","09005","2019","6","0","83","0",
"DUR","Durango","Canatlán","10001","2019","6","1","0","0",
"DUR","Durango","Durango","10005","2019","6","0","12","0",
"DUR","Durango","Otáez","10019","2019","6","1","0","0",
"DUR","Durango","Santiago Papasquiaro","10032","2019","6","0","12","0",
"DUR","Durango","Tamazula","10034","2019","6","3","0","0",
"GRO","Guerrero","Acapulco de Juárez","12001","2019","6","0","2","0",
"GRO","Guerrero","Atoyac de Álvarez","12011","2019","6","1","0","0",
"JAL","Jalisco","Acatic","14001","2019","6","0","5","0",
"JAL","Jalisco","El Arenal","14009","2019","6","0","5","0",
"JAL","Jalisco","Guadalajara","14039","2019","6","0","39","0",
"JAL","Jalisco","Lagos de Moreno","14053","2019","6","0","2","0",
"JAL","Jalisco","Ocotlán","14063","2019","6","0","5","0",
"JAL","Jalisco","Puerto Vallarta","14067","2019","6","0","98","0",
"JAL","Jalisco","Tala","14083","2019","6","0","65","0",
"JAL","Jalisco","Tepatitlán de Morelos","14093","2019","6","0","5","0",
"JAL","Jalisco","Tlajomulco de Zúñiga","14097","2019","6","0","165","0",
"JAL","Jalisco","San Pedro Tlaquepaque","14098","2019","6","0","103","0",
"JAL","Jalisco","Zapopan","14120","2019","6","0","2","0",
"MEX","México","Atlacomulco","15014","2019","6","0","38","0",
"MEX","México","Ecatepec de Morelos","15033","2019","6","0","26","0",
"MEX","México","Cuautitlán Izcalli","15121","2019","6","0","24","0",
"MIC","Michoacán de Ocampo","Morelia","16053","2019","6","0","4","0",
"MOR","Morelos","Atlatlahucan","17002","2019","6","0","22","0",
"MOR","Morelos","Cuautla","17006","2019","6","0","3","0",
"NAY","Nayarit","Bahía de Banderas","18020","2019","6","0","4","1",
"NLE","Nuevo León","Monterrey","19039","2019","6","0","1","0",
"NLE","Nuevo León","Santa Catarina","19048","2019","6","0","3","0",
"OAX","Oaxaca","Matías Romero Avendaño","20057","2019","6","0","3","0",
"OAX","Oaxaca","San Baltazar Chichicápam","20112","2019","6","1","0","0",
"OAX","Oaxaca","San Carlos Yautepec","20125","2019","6","4","0","0",
"OAX","Oaxaca","San Juan Lachigalla","20203","2019","6","3","0","0",
"OAX","Oaxaca","San Miguel Tenango","20282","2019","6","1","0","0",
"OAX","Oaxaca","San Pedro Quiatoni","20325","2019","6","2","0","0",
"OAX","Oaxaca","Santa María Quiegolani","20428","2019","6","1","0","0",
"OAX","Oaxaca","Santiago Amoltepec","20450","2019","6","1","0","0",
"OAX","Oaxaca","Santiago Lachiguiri","20470","2019","6","1","0","0",
"OAX","Oaxaca","Santo Domingo Tepuxtepec","20517","2019","6","1","0","0",
"OAX","Oaxaca","San Mateo Yucutindoo","20566","2019","6","1","0","0",
"PUE","Puebla","Tehuacán","21156","2019","6","0","280","0",
"QUE","Querétaro","Colón","22005","2019","6","0","19","0",
"QUE","Querétaro","Querétaro","22014","2019","6","0","1","0",
"ROO","Quintana Roo","Felipe Carrillo Puerto","23002","2019","6","0","1","0",
"ROO","Quintana Roo","Othón P. Blanco","23004","2019","6","0","27","0",
"ROO","Quintana Roo","Benito Juárez","23005","2019","6","0","11","0",
"SIN","Sinaloa","Ahome","25001","2019","6","0","300","300",
"SIN","Sinaloa","Badiraguato","25003","2019","6","11","0","0",
"SIN","Sinaloa","Culiacán","25006","2019","6","0","2","0",
"SIN","Sinaloa","Choix","25007","2019","6","2","0","0",
"SIN","Sinaloa","Escuinapa","25009","2019","6","0","1","0",
"SIN","Sinaloa","Mazatlán","25012","2019","6","0","2","0",
"SON","Sonora","Cajeme","26018","2019","6","0","1","0",
"SON","Sonora","Navojoa","26042","2019","6","0","10","0",
"SON","Sonora","San Luis Río Colorado","26055","2019","6","0","0","12",
"TAM","Tamaulipas","Victoria","28041","2019","6","0","129","0",
"VER","Veracruz de Ignacio de la Llave","Cotaxtla","30049","2019","6","0","8","0",
"VER","Veracruz de Ignacio de la Llave","Xalapa","30087","2019","6","0","2","0",
"VER","Veracruz de Ignacio de la Llave","Veracruz","30193","2019","6","0","5","0",
"ZAC","Zacatecas","Teúl de González Ortega","32047","2019","6","1","0","0",
