DataDASAACSV

CodEntidad,nombreEntidad,nombreMunicipio,idMunicipio,Anio,Mes,Destrucciondecultivos_marihuana,Aseguramientode_marihuana,Aseguramientode_semillademarihuana
"AGU","Aguascalientes","Aguascalientes","01001","2019","8","0","2","0",
"BCN","Baja California","Ensenada","02001","2019","8","3","1552","552",
"BCN","Baja California","Tecate","02003","2019","8","0","2006","0",
"BCN","Baja California","Tijuana","02004","2019","8","0","10390","0",
"BCS","Baja California Sur","La Paz","03003","2019","8","0","3","0",
"BCS","Baja California Sur","Los Cabos","03008","2019","8","0","10","0",
"COA","Coahuila de Zaragoza","Saltillo","05030","2019","8","0","78","0",
"COL","Colima","Manzanillo","06007","2019","8","0","21","21",
"CHH","Chihuahua","Cuauhtémoc","08017","2019","8","0","14","0",
"CHH","Chihuahua","Chihuahua","08019","2019","8","0","170","0",
"CHH","Chihuahua","Delicias","08021","2019","8","0","1","0",
"CHH","Chihuahua","Guachochi","08027","2019","8","13","0","0",
"CHH","Chihuahua","Guadalupe y Calvo","08029","2019","8","2","0","0",
"CHH","Chihuahua","Madera","08040","2019","8","0","10","0",
"CMX","Ciudad de México","Azcapotzalco","09002","2019","8","0","1","0",
"CMX","Ciudad de México","Gustavo A. Madero","09005","2019","8","0","34","0",
"CMX","Ciudad de México","Álvaro Obregón","09010","2019","8","0","40","0",
"CMX","Ciudad de México","Venustiano Carranza","09017","2019","8","0","25","0",
"DUR","Durango","Lerdo","10012","2019","8","0","1","0",
"DUR","Durango","Tamazula","10034","2019","8","2","0","0",
"GUA","Guanajuato","San Miguel de Allende","11003","2019","8","0","24","0",
"JAL","Jalisco","Etzatlán","14036","2019","8","1","0","0",
"JAL","Jalisco","Guadalajara","14039","2019","8","0","24","0",
"JAL","Jalisco","Magdalena","14055","2019","8","0","379","0",
"JAL","Jalisco","Ocotlán","14063","2019","8","0","66","0",
"JAL","Jalisco","Puerto Vallarta","14067","2019","8","0","4","0",
"JAL","Jalisco","San Cristóbal de la Barranca","14071","2019","8","2","0","0",
"JAL","Jalisco","Tamazula de Gordiano","14085","2019","8","2","0","0",
"JAL","Jalisco","Tepatitlán de Morelos","14093","2019","8","0","1","0",
"JAL","Jalisco","Tequila","14094","2019","8","31","1582","0",
"JAL","Jalisco","Tlajomulco de Zúñiga","14097","2019","8","0","87","0",
"JAL","Jalisco","San Pedro Tlaquepaque","14098","2019","8","0","135","0",
"JAL","Jalisco","Zapopan","14120","2019","8","0","291","0",
"JAL","Jalisco","Zapotlán del Rey","14123","2019","8","1","0","0",
"MEX","México","Atlacomulco","15014","2019","8","0","59","0",
"MEX","México","Texcoco","15099","2019","8","0","3","0",
"MEX","México","Cuautitlán Izcalli","15121","2019","8","0","19","0",
"MIC","Michoacán de Ocampo","Morelia","16053","2019","8","0","5","0",
"MIC","Michoacán de Ocampo","Múgica","16055","2019","8","0","4","0",
"NAY","Nayarit","Tepic","18017","2019","8","0","49","0",
"NAY","Nayarit","Tuxpan","18018","2019","8","0","1","0",
"NLE","Nuevo León","Apodaca","19006","2019","8","0","3","0",
"OAX","Oaxaca","Matías Romero Avendaño","20057","2019","8","0","5","0",
"OAX","Oaxaca","San Juan Lachigalla","20203","2019","8","2","0","0",
"OAX","Oaxaca","Santa Lucía Miahuatlán","20391","2019","8","2","0","0",
"OAX","Oaxaca","Tepelmeme Villa de Morelos","20548","2019","8","0","35","0",
"PUE","Puebla","Ixcamilpa de Guerrero","21081","2019","8","2","0","0",
"PUE","Puebla","Juan C. Bonilla","21090","2019","8","0","10","0",
"QUE","Querétaro","Colón","22005","2019","8","0","25","0",
"ROO","Quintana Roo","Benito Juárez","23005","2019","8","0","61","31",
"SLP","San Luis Potosí","San Luis Potosí","24028","2019","8","0","5","0",
"SIN","Sinaloa","Ahome","25001","2019","8","0","12","0",
"SIN","Sinaloa","Badiraguato","25003","2019","8","4","2262","4",
"SIN","Sinaloa","Culiacán","25006","2019","8","0","1","0",
"SIN","Sinaloa","Guasave","25011","2019","8","0","110","0",
"SIN","Sinaloa","Mazatlán","25012","2019","8","0","5","0",
"SON","Sonora","Agua Prieta","26002","2019","8","0","7","0",
"SON","Sonora","Cajeme","26018","2019","8","0","1","0",
"SON","Sonora","San Luis Río Colorado","26055","2019","8","0","2","5",
"SON","Sonora","General Plutarco Elías Calles","26070","2019","8","0","21","0",
"TAM","Tamaulipas","Reynosa","28032","2019","8","0","327","0",
"VER","Veracruz de Ignacio de la Llave","Cotaxtla","30049","2019","8","0","12","0",
"VER","Veracruz de Ignacio de la Llave","Veracruz","30193","2019","8","0","3","0",
"ZAC","Zacatecas","Atolinga","32003","2019","8","2","0","0",
"ZAC","Zacatecas","Trinidad García de la Cadena","32011","2019","8","1","0","0",
"ZAC","Zacatecas","Mezquital del Oro","32028","2019","8","1","0","0",
"ZAC","Zacatecas","Teúl de González Ortega","32047","2019","8","1","0","0",
