DataDASAACSV

CodEntidad,nombreEntidad,nombreMunicipio,idMunicipio,Anio,Mes,Destrucciondecultivos_marihuana,Aseguramientode_marihuana,Aseguramientode_semillademarihuana
"BCN","Baja California","Ensenada","02001","2019","12","0","848","441",
"BCN","Baja California","Tijuana","02004","2019","12","0","2569","5",
"BCS","Baja California Sur","Los Cabos","03008","2019","12","0","1","0",
"COA","Coahuila de Zaragoza","Saltillo","05030","2019","12","0","1124","0",
"CHH","Chihuahua","Chihuahua","08019","2019","12","0","6","0",
"CHH","Chihuahua","Guadalupe y Calvo","08029","2019","12","2","0","0",
"CHH","Chihuahua","Juárez","08037","2019","12","0","1","0",
"CMX","Ciudad de México","Azcapotzalco","09002","2019","12","0","31","0",
"CMX","Ciudad de México","Gustavo A. Madero","09005","2019","12","0","5","0",
"DUR","Durango","Canelas","10002","2019","12","1","0","0",
"DUR","Durango","Otáez","10019","2019","12","3","0","0",
"DUR","Durango","Santiago Papasquiaro","10032","2019","12","2","0","0",
"DUR","Durango","Tamazula","10034","2019","12","8","0","0",
"DUR","Durango","Topia","10037","2019","12","6","0","0",
"GUA","Guanajuato","Irapuato","11017","2019","12","0","3","0",
"GRO","Guerrero","Leonardo Bravo","12040","2019","12","0","7","0",
"JAL","Jalisco","Guadalajara","14039","2019","12","0","162","0",
"JAL","Jalisco","Magdalena","14055","2019","12","3","0","0",
"JAL","Jalisco","Tepatitlán de Morelos","14093","2019","12","0","35","0",
"JAL","Jalisco","Tequila","14094","2019","12","4","0","0",
"JAL","Jalisco","Tlajomulco de Zúñiga","14097","2019","12","0","342","0",
"JAL","Jalisco","San Pedro Tlaquepaque","14098","2019","12","0","189","0",
"JAL","Jalisco","Tonalá","14101","2019","12","0","1","0",
"MEX","México","Toluca","15106","2019","12","0","3","0",
"MEX","México","Cuautitlán Izcalli","15121","2019","12","0","85","0",
"MIC","Michoacán de Ocampo","Morelia","16053","2019","12","0","210","0",
"MIC","Michoacán de Ocampo","Zamora","16108","2019","12","0","42","0",
"NAY","Nayarit","Ahuacatlán","18002","2019","12","1","0","0",
"NAY","Nayarit","La Yesca","18019","2019","12","1","0","0",
"OAX","Oaxaca","Oaxaca de Juárez","20067","2019","12","0","132","0",
"OAX","Oaxaca","San Pablo Huitzo","20294","2019","12","0","85","0",
"OAX","Oaxaca","Santa Cruz Xoxocotlán","20385","2019","12","0","24","0",
"PUE","Puebla","Amozoc","21015","2019","12","0","6","0",
"QUE","Querétaro","Colón","22005","2019","12","0","4","0",
"QUE","Querétaro","Querétaro","22014","2019","12","0","5","0",
"ROO","Quintana Roo","Othón P. Blanco","23004","2019","12","0","3","0",
"ROO","Quintana Roo","Benito Juárez","23005","2019","12","0","6","0",
"SLP","San Luis Potosí","Rioverde","24024","2019","12","0","1","0",
"SLP","San Luis Potosí","San Luis Potosí","24028","2019","12","0","1","0",
"SIN","Sinaloa","Ahome","25001","2019","12","0","1","0",
"SIN","Sinaloa","Badiraguato","25003","2019","12","11","0","0",
"SIN","Sinaloa","Culiacán","25006","2019","12","0","2","0",
"SIN","Sinaloa","Mazatlán","25012","2019","12","0","1","0",
"SON","Sonora","Cajeme","26018","2019","12","0","8","0",
"SON","Sonora","Nogales","26043","2019","12","0","1","0",
"TAM","Tamaulipas","Matamoros","28022","2019","12","0","99","57",
"TAM","Tamaulipas","Reynosa","28032","2019","12","0","48","0",
"VER","Veracruz de Ignacio de la Llave","Emiliano Zapata","30065","2019","12","0","1","0",
"VER","Veracruz de Ignacio de la Llave","Veracruz","30193","2019","12","0","9","0",
