DataDASAACSV

CodEntidad,nombreEntidad,nombreMunicipio,idMunicipio,Anio,Mes,Destrucciondecultivos_marihuana,Aseguramientode_marihuana,Aseguramientode_semillademarihuana
"AGU","Aguascalientes","Calvillo","01003","2019","9","0","2","0",
"BCN","Baja California","Ensenada","02001","2019","9","7","350","0",
"BCN","Baja California","Tijuana","02004","2019","9","0","1942","0",
"BCS","Baja California Sur","La Paz","03003","2019","9","0","3","0",
"BCS","Baja California Sur","Los Cabos","03008","2019","9","0","4","0",
"COA","Coahuila de Zaragoza","Torreón","05035","2019","9","0","63","0",
"CHP","Chiapas","Cintalapa","07017","2019","9","4","3","0",
"CHP","Chiapas","Tuxtla Gutiérrez","07101","2019","9","0","100","0",
"CHH","Chihuahua","Cuauhtémoc","08017","2019","9","0","24","0",
"CHH","Chihuahua","Delicias","08021","2019","9","7","0","0",
"CHH","Chihuahua","Guachochi","08027","2019","9","2","0","0",
"CHH","Chihuahua","Guadalupe y Calvo","08029","2019","9","62","0","0",
"CHH","Chihuahua","Hidalgo del Parral","08032","2019","9","6","0","0",
"CHH","Chihuahua","Juárez","08037","2019","9","0","12","0",
"CHH","Chihuahua","Madera","08040","2019","9","0","5","0",
"CHH","Chihuahua","Matamoros","08044","2019","9","7","0","0",
"CHH","Chihuahua","Morelos","08046","2019","9","4","0","0",
"CHH","Chihuahua","Temósachic","08063","2019","9","0","2","0",
"CMX","Ciudad de México","Gustavo A. Madero","09005","2019","9","0","7","0",
"CMX","Ciudad de México","Álvaro Obregón","09010","2019","9","0","25","0",
"CMX","Ciudad de México","Venustiano Carranza","09017","2019","9","0","7","0",
"DUR","Durango","Canelas","10002","2019","9","1","0","0",
"DUR","Durango","Durango","10005","2019","9","1","2","0",
"DUR","Durango","Otáez","10019","2019","9","1","0","0",
"DUR","Durango","Santiago Papasquiaro","10032","2019","9","9","0","0",
"DUR","Durango","Tamazula","10034","2019","9","20","0","0",
"DUR","Durango","Topia","10037","2019","9","1","0","0",
"GUA","Guanajuato","Irapuato","11017","2019","9","0","1","0",
"GUA","Guanajuato","León","11020","2019","9","0","1","0",
"GUA","Guanajuato","San Diego de la Unión","11029","2019","9","0","1","1",
"GUA","Guanajuato","San Luis de la Paz","11033","2019","9","0","3","0",
"GRO","Guerrero","Chilpancingo de los Bravo","12029","2019","9","7","0","0",
"GRO","Guerrero","Iguala de la Independencia","12035","2019","9","0","80","0",
"GRO","Guerrero","Leonardo Bravo","12040","2019","9","4","0","0",
"GRO","Guerrero","Tlacoachistlahuaca","12062","2019","9","1","0","0",
"JAL","Jalisco","Amatitán","14005","2019","9","0","553","0",
"JAL","Jalisco","Ameca","14006","2019","9","1","0","0",
"JAL","Jalisco","Guadalajara","14039","2019","9","0","17","0",
"JAL","Jalisco","Hostotipaquillo","14040","2019","9","12","0","0",
"JAL","Jalisco","Ixtlahuacán de los Membrillos","14044","2019","9","6","0","0",
"JAL","Jalisco","Ixtlahuacán del Río","14045","2019","9","21","0","0",
"JAL","Jalisco","Lagos de Moreno","14053","2019","9","0","2","0",
"JAL","Jalisco","Magdalena","14055","2019","9","4","235","0",
"JAL","Jalisco","Ocotlán","14063","2019","9","0","7","0",
"JAL","Jalisco","Puerto Vallarta","14067","2019","9","0","15","15",
"JAL","Jalisco","Tepatitlán de Morelos","14093","2019","9","0","1","0",
"JAL","Jalisco","Tequila","14094","2019","9","26","247","0",
"JAL","Jalisco","Tlajomulco de Zúñiga","14097","2019","9","0","246","0",
"JAL","Jalisco","San Pedro Tlaquepaque","14098","2019","9","0","87","0",
"JAL","Jalisco","Zapopan","14120","2019","9","0","169","2",
"JAL","Jalisco","Zapotlanejo","14124","2019","9","2","1","0",
"MEX","México","Atlacomulco","15014","2019","9","0","616","0",
"MEX","México","Tlalnepantla de Baz","15104","2019","9","0","1","0",
"MEX","México","Cuautitlán Izcalli","15121","2019","9","0","12","0",
"MIC","Michoacán de Ocampo","Madero","16049","2019","9","1","0","0",
"MIC","Michoacán de Ocampo","Morelia","16053","2019","9","0","2","0",
"MIC","Michoacán de Ocampo","Tzitzio","16101","2019","9","1","0","0",
"NAY","Nayarit","Acaponeta","18001","2019","9","0","11","0",
"NAY","Nayarit","Ixtlán del Río","18006","2019","9","2","0","0",
"NAY","Nayarit","Santiago Ixcuintla","18015","2019","9","0","1","0",
"NAY","Nayarit","La Yesca","18019","2019","9","4","0","0",
"NLE","Nuevo León","China","19013","2019","9","0","310","0",
"NLE","Nuevo León","Monterrey","19039","2019","9","0","13","0",
"OAX","Oaxaca","Matías Romero Avendaño","20057","2019","9","0","1","0",
"OAX","Oaxaca","Oaxaca de Juárez","20067","2019","9","0","8","0",
"OAX","Oaxaca","San Cristóbal Suchixtlahuaca","20129","2019","9","0","26","0",
"OAX","Oaxaca","San Pedro Quiatoni","20325","2019","9","0","132","0",
"PUE","Puebla","Jolalpan","21087","2019","9","1","0","0",
"PUE","Puebla","Puebla","21114","2019","9","0","93","0",
"QUE","Querétaro","Colón","22005","2019","9","0","9","0",
"ROO","Quintana Roo","Othón P. Blanco","23004","2019","9","0","5","5",
"ROO","Quintana Roo","Benito Juárez","23005","2019","9","0","52","0",
"SLP","San Luis Potosí","Matehuala","24020","2019","9","0","393","0",
"SLP","San Luis Potosí","San Luis Potosí","24028","2019","9","0","73","0",
"SIN","Sinaloa","Ahome","25001","2019","9","0","3","0",
"SIN","Sinaloa","Badiraguato","25003","2019","9","63","3","0",
"SIN","Sinaloa","Cosalá","25005","2019","9","10","0","0",
"SIN","Sinaloa","Culiacán","25006","2019","9","1","6","0",
"SIN","Sinaloa","Choix","25007","2019","9","8","0","0",
"SIN","Sinaloa","Escuinapa","25009","2019","9","0","30","0",
"SIN","Sinaloa","Mazatlán","25012","2019","9","0","3","0",
"SIN","Sinaloa","Mocorito","25013","2019","9","2","0","0",
"SIN","Sinaloa","San Ignacio","25016","2019","9","2","0","0",
"SON","Sonora","Agua Prieta","26002","2019","9","0","115","0",
"SON","Sonora","Santa Ana","26058","2019","9","3","100","0",
"TAM","Tamaulipas","Reynosa","28032","2019","9","0","2","0",
"VER","Veracruz de Ignacio de la Llave","Acayucan","30003","2019","9","0","2","0",
"VER","Veracruz de Ignacio de la Llave","Sayula de Alemán","30144","2019","9","0","23","0",
"VER","Veracruz de Ignacio de la Llave","Veracruz","30193","2019","9","0","2","0",
"YUC","Yucatán","Mérida","31050","2019","9","0","1","0",
"ZAC","Zacatecas","Trinidad García de la Cadena","32011","2019","9","7","0","0",
"ZAC","Zacatecas","Mezquital del Oro","32028","2019","9","1","0","0",
"ZAC","Zacatecas","Teúl de González Ortega","32047","2019","9","4","0","0",
