DataDASAACSV

CodEntidad,nombreEntidad,nombreMunicipio,idMunicipio,Anio,Mes,Destrucciondecultivos_marihuana,Aseguramientode_marihuana,Aseguramientode_semillademarihuana
"BCN","Baja California","Ensenada","02001","2019","5","0","3351","468",
"BCN","Baja California","Tecate","02003","2019","5","0","4","0",
"BCN","Baja California","Tijuana","02004","2019","5","0","80","0",
"COA","Coahuila de Zaragoza","Torreón","05035","2019","5","0","1","0",
"COL","Colima","Manzanillo","06007","2019","5","0","100","100",
"CHH","Chihuahua","Cuauhtémoc","08017","2019","5","0","6","0",
"CHH","Chihuahua","Guachochi","08027","2019","5","9","95","0",
"CHH","Chihuahua","Guadalupe y Calvo","08029","2019","5","12","0","0",
"CHH","Chihuahua","Guazapares","08030","2019","5","5","0","0",
"CHH","Chihuahua","Juárez","08037","2019","5","0","182","0",
"CHH","Chihuahua","Madera","08040","2019","5","0","2","0",
"CHH","Chihuahua","San Francisco de Borja","08057","2019","5","0","40","0",
"CMX","Ciudad de México","Gustavo A. Madero","09005","2019","5","0","3","0",
"CMX","Ciudad de México","Tláhuac","09011","2019","5","0","1","0",
"CMX","Ciudad de México","Venustiano Carranza","09017","2019","5","0","40","0",
"DUR","Durango","Canatlán","10001","2019","5","1","0","0",
"DUR","Durango","Cuencamé","10004","2019","5","0","3","0",
"DUR","Durango","Durango","10005","2019","5","1","1","0",
"DUR","Durango","Pueblo Nuevo","10023","2019","5","2","0","0",
"DUR","Durango","San Dimas","10026","2019","5","1","0","0",
"DUR","Durango","Santiago Papasquiaro","10032","2019","5","7","0","0",
"DUR","Durango","Tamazula","10034","2019","5","28","0","0",
"GUA","Guanajuato","Celaya","11007","2019","5","0","6","0",
"GUA","Guanajuato","Irapuato","11017","2019","5","0","5","0",
"GUA","Guanajuato","León","11020","2019","5","0","6","0",
"GRO","Guerrero","Acapulco de Juárez","12001","2019","5","0","2","0",
"GRO","Guerrero","Chilpancingo de los Bravo","12029","2019","5","2","0","0",
"GRO","Guerrero","General Heliodoro Castillo","12032","2019","5","4","0","0",
"GRO","Guerrero","Iguala de la Independencia","12035","2019","5","0","10","0",
"JAL","Jalisco","Guadalajara","14039","2019","5","0","184","0",
"JAL","Jalisco","Puerto Vallarta","14067","2019","5","0","19","0",
"JAL","Jalisco","San Juan de los Lagos","14073","2019","5","0","2","0",
"JAL","Jalisco","Tepatitlán de Morelos","14093","2019","5","0","31","0",
"JAL","Jalisco","Tlajomulco de Zúñiga","14097","2019","5","0","167","0",
"JAL","Jalisco","San Pedro Tlaquepaque","14098","2019","5","0","69","0",
"JAL","Jalisco","Valle de Guadalupe","14111","2019","5","0","4","0",
"MEX","México","Cuautitlán Izcalli","15121","2019","5","0","80","0",
"MIC","Michoacán de Ocampo","Morelia","16053","2019","5","0","28","0",
"MIC","Michoacán de Ocampo","San Lucas","16077","2019","5","0","50","2",
"NAY","Nayarit","Del Nayar","18009","2019","5","1","0","0",
"NAY","Nayarit","Tuxpan","18018","2019","5","0","10","0",
"NAY","Nayarit","La Yesca","18019","2019","5","3","0","0",
"NAY","Nayarit","Bahía de Banderas","18020","2019","5","0","4","3",
"NLE","Nuevo León","General Escobedo","19021","2019","5","0","1","0",
"OAX","Oaxaca","Asunción Nochixtlán","20006","2019","5","0","7","0",
"PUE","Puebla","Huauchinango","21071","2019","5","0","22","21",
"QUE","Querétaro","Querétaro","22014","2019","5","0","11","0",
"ROO","Quintana Roo","Othón P. Blanco","23004","2019","5","0","1","0",
"ROO","Quintana Roo","Benito Juárez","23005","2019","5","0","266","0",
"SLP","San Luis Potosí","Ciudad Valles","24013","2019","5","0","15","0",
"SLP","San Luis Potosí","Matehuala","24020","2019","5","0","1","0",
"SLP","San Luis Potosí","Soledad de Graciano Sánchez","24035","2019","5","0","32","2",
"SIN","Sinaloa","Ahome","25001","2019","5","0","93","0",
"SIN","Sinaloa","Badiraguato","25003","2019","5","21","890","3",
"SIN","Sinaloa","Concordia","25004","2019","5","2","0","0",
"SIN","Sinaloa","Cosalá","25005","2019","5","12","0","0",
"SIN","Sinaloa","Culiacán","25006","2019","5","1","13","0",
"SIN","Sinaloa","Choix","25007","2019","5","22","0","0",
"SIN","Sinaloa","Elota","25008","2019","5","0","24","0",
"SIN","Sinaloa","Escuinapa","25009","2019","5","0","5","0",
"SIN","Sinaloa","Mazatlán","25012","2019","5","0","3","0",
"SIN","Sinaloa","San Ignacio","25016","2019","5","3","0","0",
"SON","Sonora","Agua Prieta","26002","2019","5","0","17","0",
"SON","Sonora","Cajeme","26018","2019","5","0","6","0",
"SON","Sonora","Hermosillo","26030","2019","5","0","6","0",
"SON","Sonora","Navojoa","26042","2019","5","0","1","0",
"SON","Sonora","San Miguel de Horcasitas","26056","2019","5","0","41","0",
"SON","Sonora","Sáric","26060","2019","5","0","5","0",
"SON","Sonora","General Plutarco Elías Calles","26070","2019","5","2","119","0",
"TAB","Tabasco","Cárdenas","27002","2019","5","0","11","11",
"TAM","Tamaulipas","Matamoros","28022","2019","5","0","117","28",
"TAM","Tamaulipas","Reynosa","28032","2019","5","0","399","0",
"VER","Veracruz de Ignacio de la Llave","Cotaxtla","30049","2019","5","0","15","0",
"VER","Veracruz de Ignacio de la Llave","Veracruz","30193","2019","5","0","1","0",
"YUC","Yucatán","Mérida","31050","2019","5","0","19","0",
