DataDASAACSV

CodEntidad,nombreEntidad,nombreMunicipio,idMunicipio,Anio,Mes,Destrucciondecultivos_marihuana,Aseguramientode_marihuana,Aseguramientode_semillademarihuana
"BCN","Baja California","Ensenada","02001","2019","4","0","805","0",
"BCN","Baja California","Tijuana","02004","2019","4","0","1674","0",
"BCS","Baja California Sur","Los Cabos","03008","2019","4","0","121","0",
"COA","Coahuila de Zaragoza","Castaños","05006","2019","4","0","1","0",
"COL","Colima","Manzanillo","06007","2019","4","0","1","0",
"CHP","Chiapas","Tapachula","07089","2019","4","0","25","20",
"CHP","Chiapas","Tuxtla Chico","07102","2019","4","0","2","0",
"CHH","Chihuahua","Delicias","08021","2019","4","0","1","0",
"CHH","Chihuahua","Gómez Farías","08025","2019","4","1","0","0",
"CHH","Chihuahua","Guachochi","08027","2019","4","1","0","0",
"CHH","Chihuahua","Guadalupe y Calvo","08029","2019","4","59","0","0",
"CHH","Chihuahua","Guazapares","08030","2019","4","4","0","0",
"CHH","Chihuahua","Juárez","08037","2019","4","0","337","0",
"CHH","Chihuahua","Ocampo","08051","2019","4","2","300","0",
"CHH","Chihuahua","Valle de Zaragoza","08067","2019","4","1","0","0",
"CMX","Ciudad de México","Gustavo A. Madero","09005","2019","4","0","87","0",
"CMX","Ciudad de México","Venustiano Carranza","09017","2019","4","0","6","0",
"DUR","Durango","Canelas","10002","2019","4","1","0","0",
"DUR","Durango","Otáez","10019","2019","4","2","0","0",
"DUR","Durango","Santiago Papasquiaro","10032","2019","4","14","0","0",
"DUR","Durango","Tamazula","10034","2019","4","42","0","0",
"DUR","Durango","Topia","10037","2019","4","2","0","0",
"GUA","Guanajuato","Celaya","11007","2019","4","0","1","0",
"GUA","Guanajuato","León","11020","2019","4","0","19","0",
"GUA","Guanajuato","Pénjamo","11023","2019","4","0","170","0",
"GRO","Guerrero","Acapulco de Juárez","12001","2019","4","0","1","0",
"GRO","Guerrero","General Heliodoro Castillo","12032","2019","4","2","0","0",
"GRO","Guerrero","Iguala de la Independencia","12035","2019","4","0","184","0",
"JAL","Jalisco","Amatitán","14005","2019","4","0","1","1",
"JAL","Jalisco","Autlán de Navarro","14015","2019","4","1","0","0",
"JAL","Jalisco","Guadalajara","14039","2019","4","0","128","0",
"JAL","Jalisco","Mascota","14058","2019","4","2","0","0",
"JAL","Jalisco","Ocotlán","14063","2019","4","0","32","0",
"JAL","Jalisco","Tepatitlán de Morelos","14093","2019","4","0","2","0",
"JAL","Jalisco","Tequila","14094","2019","4","2","868","0",
"JAL","Jalisco","Tlajomulco de Zúñiga","14097","2019","4","0","9","0",
"JAL","Jalisco","San Pedro Tlaquepaque","14098","2019","4","0","52","0",
"JAL","Jalisco","Zapopan","14120","2019","4","0","3","0",
"MEX","México","Cuautitlán Izcalli","15121","2019","4","0","32","0",
"MIC","Michoacán de Ocampo","Aquila","16008","2019","4","1","0","0",
"MIC","Michoacán de Ocampo","Morelia","16053","2019","4","0","38","0",
"MIC","Michoacán de Ocampo","Tiquicheo de Nicolás Romero","16092","2019","4","0","1121","0",
"MIC","Michoacán de Ocampo","Tuzantla","16099","2019","4","1","0","0",
"MOR","Morelos","Cuernavaca","17007","2019","4","0","6","0",
"NAY","Nayarit","Del Nayar","18009","2019","4","4","0","0",
"NAY","Nayarit","La Yesca","18019","2019","4","15","0","0",
"NAY","Nayarit","Bahía de Banderas","18020","2019","4","1","81","81",
"NLE","Nuevo León","San Pedro Garza García","19019","2019","4","0","1","0",
