DataDASAACSV

CodEntidad,nombreEntidad,nombreMunicipio,idMunicipio,Anio,Mes,Destrucciondecultivos_marihuana,Aseguramientode_marihuana,Aseguramientode_semillademarihuana
"NLE","Nuevo León","General Escobedo","19021","2019","4","0","1385","0",
"NLE","Nuevo León","Linares","19033","2019","4","0","2","0",
"NLE","Nuevo León","Monterrey","19039","2019","4","0","32","0",
"OAX","Oaxaca","Matías Romero Avendaño","20057","2019","4","0","6","0",
"OAX","Oaxaca","Oaxaca de Juárez","20067","2019","4","0","2","0",
"OAX","Oaxaca","San Carlos Yautepec","20125","2019","4","1","0","0",
"OAX","Oaxaca","San Jerónimo Coatlán","20159","2019","4","1","0","0",
"OAX","Oaxaca","Santa Lucía Miahuatlán","20391","2019","4","1","0","0",
"OAX","Oaxaca","Santa María Huatulco","20413","2019","4","0","2","0",
"OAX","Oaxaca","San Mateo Yucutindoo","20566","2019","4","1","0","0",
"PUE","Puebla","Puebla","21114","2019","4","0","10","0",
"QUE","Querétaro","Querétaro","22014","2019","4","0","40","0",
"ROO","Quintana Roo","Cozumel","23001","2019","4","0","5","5",
"ROO","Quintana Roo","Benito Juárez","23005","2019","4","0","42","0",
"ROO","Quintana Roo","Solidaridad","23008","2019","4","0","19","5",
"SLP","San Luis Potosí","San Luis Potosí","24028","2019","4","0","1","0",
"SIN","Sinaloa","Badiraguato","25003","2019","4","52","0","0",
"SIN","Sinaloa","Concordia","25004","2019","4","7","0","0",
"SIN","Sinaloa","Cosalá","25005","2019","4","7","0","0",
"SIN","Sinaloa","Culiacán","25006","2019","4","1","2","0",
"SIN","Sinaloa","Choix","25007","2019","4","5","0","0",
"SIN","Sinaloa","Escuinapa","25009","2019","4","0","2","0",
"SIN","Sinaloa","Mazatlán","25012","2019","4","0","9","0",
"SIN","Sinaloa","Mocorito","25013","2019","4","1","0","0",
"SIN","Sinaloa","Sinaloa","25017","2019","4","7","431","0",
"SIN","Sinaloa","Navolato","25018","2019","4","0","425","0",
"SON","Sonora","Agua Prieta","26002","2019","4","0","24","0",
"SON","Sonora","Cajeme","26018","2019","4","0","3","0",
"SON","Sonora","Nogales","26043","2019","4","0","368","0",
"SON","Sonora","General Plutarco Elías Calles","26070","2019","4","0","2112","0",
"TAM","Tamaulipas","Matamoros","28022","2019","4","0","295","97",
"TAM","Tamaulipas","Reynosa","28032","2019","4","0","1","0",
"VER","Veracruz de Ignacio de la Llave","Coatzacoalcos","30039","2019","4","0","4","4",
"VER","Veracruz de Ignacio de la Llave","Tuxpan","30189","2019","4","0","1","1",
"VER","Veracruz de Ignacio de la Llave","Veracruz","30193","2019","4","0","4","0",
"YUC","Yucatán","Mérida","31050","2019","4","0","38","0",
