DataDASAACSV

CodEntidad,nombreEntidad,nombreMunicipio,idMunicipio,Anio,Mes,Destrucciondecultivos_marihuana,Aseguramientode_marihuana,Aseguramientode_semillademarihuana
"BCN","Baja California","Ensenada","02001","2018","12","0","1","1",
"BCS","Baja California Sur","Mulegé","03002","2018","12","0","1","0",
"BCS","Baja California Sur","Los Cabos","03008","2018","12","0","11","5",
"CHH","Chihuahua","Aldama","08002","2018","12","0","11","0",
"CHH","Chihuahua","Batopilas de Manuel Gómez Morín","08008","2018","12","2","0","0",
"CHH","Chihuahua","Guadalupe y Calvo","08029","2018","12","10","60","0",
"CHH","Chihuahua","Juárez","08037","2018","12","0","1","0",
"CHH","Chihuahua","Madera","08040","2018","12","0","13","0",
"CMX","Ciudad de México","Gustavo A. Madero","09005","2018","12","0","1","0",
"CMX","Ciudad de México","Venustiano Carranza","09017","2018","12","0","56","0",
"DUR","Durango","Pueblo Nuevo","10023","2018","12","3","350","0",
"DUR","Durango","Tamazula","10034","2018","12","20","0","0",
"DUR","Durango","Tepehuanes","10035","2018","12","1","0","0",
"DUR","Durango","Topia","10037","2018","12","3","0","0",
"GRO","Guerrero","Acapulco de Juárez","12001","2018","12","0","5","4",
"GRO","Guerrero","Huitzuco de los Figueroa","12034","2018","12","0","64","0",
"GRO","Guerrero","Iguala de la Independencia","12035","2018","12","0","15","0",
"JAL","Jalisco","Acatic","14001","2018","12","0","1","0",
"JAL","Jalisco","Guadalajara","14039","2018","12","0","11","0",
"JAL","Jalisco","Hostotipaquillo","14040","2018","12","1","0","0",
"JAL","Jalisco","Lagos de Moreno","14053","2018","12","0","1","0",
"JAL","Jalisco","Puerto Vallarta","14067","2018","12","0","1","0",
"JAL","Jalisco","El Salto","14070","2018","12","0","4","0",
"JAL","Jalisco","Tepatitlán de Morelos","14093","2018","12","0","310","0",
"JAL","Jalisco","Tequila","14094","2018","12","2","0","0",
"JAL","Jalisco","Tlajomulco de Zúñiga","14097","2018","12","0","23","0",
"JAL","Jalisco","San Pedro Tlaquepaque","14098","2018","12","0","20","0",
"MEX","México","Toluca","15106","2018","12","0","1","0",
"MEX","México","Zumpango","15120","2018","12","0","10","0",
"MIC","Michoacán de Ocampo","Lázaro Cárdenas","16052","2018","12","0","2","0",
"NAY","Nayarit","Bahía de Banderas","18020","2018","12","0","2","0",
"OAX","Oaxaca","Matías Romero Avendaño","20057","2018","12","0","3","0",
"OAX","Oaxaca","San Juan Lachigalla","20203","2018","12","3","0","0",
"OAX","Oaxaca","San Miguel Chimalapa","20265","2018","12","3","0","0",
"OAX","Oaxaca","Villa Sola de Vega","20277","2018","12","1","0","0",
"OAX","Oaxaca","Santa Lucía Miahuatlán","20391","2018","12","5","0","0",
"OAX","Oaxaca","Santiago Jamiltepec","20467","2018","12","1","0","0",
"PUE","Puebla","San Martín Texmelucan","21132","2018","12","0","137","0",
"QUE","Querétaro","Querétaro","22014","2018","12","0","1","0",
"ROO","Quintana Roo","Isla Mujeres","23003","2018","12","0","31","31",
"ROO","Quintana Roo","Benito Juárez","23005","2018","12","0","20","0",
"SLP","San Luis Potosí","San Luis Potosí","24028","2018","12","0","22","0",
"SIN","Sinaloa","Badiraguato","25003","2018","12","11","93","0",
"SIN","Sinaloa","Cosalá","25005","2018","12","8","0","0",
"SIN","Sinaloa","Culiacán","25006","2018","12","0","7","0",
"SIN","Sinaloa","Choix","25007","2018","12","2","0","0",
"SIN","Sinaloa","Escuinapa","25009","2018","12","0","6","0",
"SIN","Sinaloa","Mazatlán","25012","2018","12","3","55","55",
"SIN","Sinaloa","Mocorito","25013","2018","12","2","0","10",
"SON","Sonora","Caborca","26017","2018","12","0","65","0",
"SON","Sonora","Hermosillo","26030","2018","12","0","7","0",
"SON","Sonora","Nogales","26043","2018","12","0","878","0",
"SON","Sonora","San Luis Río Colorado","26055","2018","12","0","4","0",
"TAB","Tabasco","Centla","27003","2018","12","0","1","1",
"TAM","Tamaulipas","Miguel Alemán","28025","2018","12","0","50","0",
"TAM","Tamaulipas","Nuevo Laredo","28027","2018","12","0","164","0",
"TAM","Tamaulipas","Reynosa","28032","2018","12","0","123","0",
"TAM","Tamaulipas","San Fernando","28035","2018","12","0","2","0",
"VER","Veracruz de Ignacio de la Llave","Coatzacoalcos","30039","2018","12","0","5","5",
"VER","Veracruz de Ignacio de la Llave","Tlalixcoyan","30181","2018","12","0","55","0",
"VER","Veracruz de Ignacio de la Llave","Veracruz","30193","2018","12","0","27","0",
"YUC","Yucatán","Mérida","31050","2018","12","0","112","0",
"ZAC","Zacatecas","Fresnillo","32010","2018","12","0","49","0",
"ZAC","Zacatecas","Teúl de González Ortega","32047","2018","12","1","700","0",
